Company,City,Country,Industry,Investor,Last Valuation,Unicorn
Slingshot Aerospace,Austin,United States,Aerospace,Techstars,200000000,0
Deepgram,San Francisco,United States,Artificial Intelligence,NVIDIA,250000000,0
Sense,Cambridge,United States,Consumer Electronics,Schneider Electric,550000000,0
Zume,Camarillo,United States,Consumer,FJ Labs,2250000000,1
Plant Prefab,Rialto,United States,Architecture,ICT Capital,100000000,0
Zylo,Indianapolis,United States,Analytics,Bessemer Venture Partners,200000000,0
Joy,San Francisco,United States,Apps,Nordstrom,300000000,0
UPSIDE Foods,Berkeley,United States,Food and Beverage,IndieBio,1000000000,1
Forethought,San Francisco,United States,Artificial Intelligence,Village Global,315000000,0
FogPharma,Cambridge,United States,Biopharma,Fidelity Management and Research Company,1000000000,1
Lime,San Francisco,United States,Last Mile Transportation,Apple,2400000000,1
The EVERY Company,South San Francisco,United States,Biotechnology,IndieBio,715000000,0
VillageMD,Chicago,United States,Health Care,Adams Street Partners,1500000000,1
Caribu,Miami,United States,EdTech,Toyota,4000000,0
Motive,San Francisco,United States,Artificial Intelligence,Insight Partners,1250000000,1
Somatus,Mclean,United States,Health Care,Fidelity Management and Research Company,2560000000,1
OpenWeb,New York,United States,Internet,Insight Partners,200000000,0
Solugen,Houston,United States,Biopharma,Temasek Holdings,2000000000,1
Podium,Lehi,United States,Collaboration,Accel,3000000000,1
PlayVS,Los Angeles,United States,Computer,SoftBank,300000000,0
Brightside,San Francisco,United States,Financial Services,Andreessen Horowitz,220000000,0
Synapse,San Francisco,United States,Banking,500 Global,155000000,0
Juniper Square,San Francisco,United States,Enterprise Software,Ribbit Capital,300000000,0
Nference,Cambridge,United States,Artificial Intelligence,Matrix Partners,450000000,0
Netlify,San Francisco,United States,Cloud Computing,Andreessen Horowitz,2000000000,1
Freight Farms,Boston,United States,Agriculture,Techstars,150000000,0
TVision,New York,United States,Advertising,iSpot.tv,150000000,0
Brex,San Francisco,United States,Banking,Tiger Global Management,12300000000,1
Full Harvest,San Francisco,United States,Agriculture,Elemental Excelerator,120000000,0
Carbon,Redwood City,United States,3D Printing,Temasek Holdings,2400000000,1
Miso Robotics,Pasadena,United States,Artificial Intelligence,SeedInvest,110000000,0
CareAcademy,Cambridge,United States,Education,Techstars,228500000,0
SonderMind,Denver,United States,Health Care,Partners Group,117000000,0
Sure,New York,United States,Financial Services,Menlo Ventures,550000000,0
HealthJoy,Chicago,United States,Artificial Intelligence,Relativity,350000000,0
Builder.ai,London,United Kingdom,Artificial Intelligence,Insight Partners,90000000,0
Omni,San Francisco,United States,Apps,8VC,100000000,0
Camino Financial,Los Angeles,United States,Artificial Intelligence,Community Investment Management,30000000,0
Guru,Philadelphia,United States,Artificial Intelligence,Accel,200000000,0
Flexport,San Francisco,United States,Freight Service,Shopify,8000000000,1
Canopy,Detroit,United States,Artificial Intelligence,New Enterprise Associates,455000000,0
BlueVoyant,New York,United States,Cyber Security,Temasek Holdings,1500000000,1
DoorDash,San Francisco,United States,Delivery,Temasek Holdings,16000000000,1
Cuyana,San Francisco,United States,E-Commerce,H.I.G. Capital,100000000,0
Algorand,Boston,United States,Blockchain,Alumni Ventures,250000000,0
Fortanix,Mountain View,United States,Computer,In-Q-Tel,350000000,0
Jnana Therapeutics,Boston,United States,Biotechnology,RA Capital Management,700000000,0
Branch,Palo Alto,United States,App Marketing,Madrona,4000000000,1
SentinelOne,Mountain View,United States,Artificial Intelligence,Sequoia Capital,3100000000,1
Taxfyle,Miami,United States,Accounting,Ocean Azul Partners,80000000,0
Neuralink,Fremont,United States,Hardware,Craft Ventures,850000000,0
Airfox,Boston,United States,Banking,Techstars,3500000,0
Pie Insurance,Washington,United States,Financial Services,Gaingels,2000000000,1
Escient Pharmaceuticals,San Diego,United States,Biotechnology,New Enterprise Associates,700000000,0
Stream,Boulder,United States,Communications Infrastructure,Techstars,150000000,0
Owl Labs,Somerville,United States,Hardware,Spark Capital,150000000,0
Reach,Redwood City,United States,Energy,DCVC,25000000,0
Health IQ,Mountain View,United States,Health Care,Andreessen Horowitz,400000000,0
Scoop,San Francisco,United States,Productivity Tools,Activate Capital Partners,315000000,0
Blavity,Los Angeles,United States,Communities,500 Global,30000000,0
Fountain,San Francisco,United States,SaaS,Y Combinator,350000000,0
Heap,San Francisco,United States,Analytics,WME,960000000,0
Tia,New York,United States,Apps,The Helm,400000000,0
Roofstock,Oakland,United States,FinTech,DoorDash,1940000000,1
R3,New York,United States,Blockchain,Citi,330000000,0
Cognoa,Palo Alto,United States,Biotechnology,Morningside Venture Investments,35000000,0
Symphony Communication Services,New York,United States,Information Services,Google,1500000000,1
LedgerX,New York,United States,Bitcoin,Blockchain Capital,100000000,0
VideoAmp,Los Angeles,United States,Advertising,Tiger Global Management,1400000000,1
Owkin,New York,United States,Artificial Intelligence,Sanofi,1250000000,1
Ollie,Reno,United States,E-Commerce,Alumni Ventures,79300000,0
Elemental Machines,Cambridge,United States,Artificial Intelligence,Founders Fund,150000000,0
Fever,New City,United States,Media and Entertainment,Eurazeo,1000000000,1
Starship Technologies,San Francisco,United States,Artificial Intelligence,Mercedes-Benz Group AG,400000000,0
Fuzzy,San Francisco,United States,mHealth,Gaingels,224000000,0
Lendbuzz,Boston,United States,Artificial Intelligence,Goldman Sachs,250000000,0
Finless Foods,Emeryville,United States,Consumer Goods,IndieBio,150000000,0
The Boring Company,Pflugerville,United States,Construction,Sequoia Capital,5675000000,1
Robinhood,Menlo Park,United States,Cryptocurrency,Andreessen Horowitz,25000000000,1
Imagen Technologies,New York,United States,Artificial Intelligence,GV,15000000,0
Flutterwave,San Francisco,United States,Financial Services,Insight Partners,3000000000,1
Dragos,Hanover,United States,Cyber Security,BlackRock,1700000000,1
Revl,San Francisco,United States,Artificial Intelligence,Y Combinator,50000000,0
Mammoth Biosciences,San Francisco,United States,Biotechnology,National Institutes of Health,650000000,0
Fetch Package,Austin,United States,Delivery Service,Signature Bank,95000000,0
Lambda School,San Francisco,United States,E-Learning,Stripe,260000000,0
Uphold,New York,United States,Bitcoin,Coil,250000000,0
DispatchHealth,Denver,United States,Health Care,Humana,2000000000,1
Lithic,New York,United States,Consumer,Bessemer Venture Partners,810000000,0
Casper,New York,United States,E-Commerce,Alumni Ventures,1100000000,1
Instabase,San Francisco,United States,Business Information Systems,Andreessen Horowitz,1105000000,1
Front,San Francisco,United States,Collaboration,Sequoia Capital,1665000000,1
Forge,San Francisco,United States,Finance,Temasek Holdings,700000000,0
Arcadia,Washington,United States,Clean Energy,Alumni Ventures,1500000000,1
Landed,San Francisco,United States,Finance,Y Combinator,150000000,0
Yobe,Boston,United States,Artificial Intelligence,National Science Foundation,5500000,0
Starry,Boston,United States,Hardware,Tiger Global Management,2000000000,1
Bluevine,Redwood City,United States,Banking,Credit Suisse,750000000,0
ActionIQ,New York,United States,Analytics,Andreessen Horowitz,260000000,0
Marlette Funding,Wilmington,United States,Financial Services,Invus,1500000000,1
SparkCognition,Austin,United States,Analytics,Temasek Holdings,1400000000,1
Iron Ox,San Carlos,United States,Agriculture,Eniac Ventures,300000000,0
Provi,Chicago,United States,Craft Beer,Bessemer Venture Partners,750000000,0
Strangeworks,Austin,United States,Quantum Computing,Lightspeed Venture Partners,10000000,0
Policygenius,New York,United States,Finance,Norwest Venture Partners,900000000,0
Scentbird,New York,United States,Beauty,500 Global,85000000,0
Solv,Oakland,United States,Apps,Binance Labs,200000000,0
Thrive Market,Los Angeles,United States,Beauty,Kapor Capital,650000000,0
The Farmer's Dog,New York,United States,Consumer Goods,Insight Partners,1460000000,1
Treez,Oakland,United States,Cannabis,Long Ridge Equity Partners,260000000,0
Alto Pharmacy,San Francisco,United States,Consumer,Y Combinator,1595000000,1
Viome,Bellevue,United States,Dietary Supplements,Physician Partners,500000000,0
Astronomer,Cincinnati,United States,Analytics,500 Global,850000000,0
Uplift,Menlo Park,United States,E-Commerce,Credit Suisse,450000000,0
Verge Genomics,San Francisco,United States,Biotechnology,Alumni Ventures,400000000,0
Brave,San Francisco,United States,Advertising,Digital Currency Group,20000000,0
Vroom,New York,United States,Automotive,General Catalyst,1500000000,1
Moving Analytics,Los Angeles,United States,Health Care,Alumni Ventures,65000000,0
DataCamp,New York,United States,Analytics,Techstars,85000000,0
Daily Harvest,New York,United States,E-Commerce,Lightspeed Venture Partners,1100000000,1
TripActions,Palo Alto,United States,Business Travel,Andreessen Horowitz,7250000000,1
blooom,Leawood,United States,Finance,UMB Banks,35000000,0
Agent IQ,San Francisco,United States,Artificial Intelligence,Sierra Ventures,50000000,0
Rebag,New York,United States,E-Commerce,General Catalyst,300000000,0
Farmers Business Network,San Carlos,United States,Agriculture,Temasek Holdings,3900000000,1
fuboTV,New York,United States,Digital Entertainment,Northzone,400000000,0
Alation,Redwood City,United States,Analytics,Andreessen Horowitz,1700000000,1
Akash Systems,San Francisco,United States,Aerospace,DCVC,55000000,0
Domino Data Lab,San Francisco,United States,Analytics,NVIDIA,750000000,0
The/Studio,Pasadena,United States,Consumer Goods,FJ Labs,35000000,0
Gigster,San Francisco,United States,Analytics,Andreessen Horowitz,90000000,0
Springboard,San Francisco,United States,E-Learning,500 Global,150000000,0
HealthVerity,Philadelphia,United States,Health Care,Flare Capital Partners,720000000,0
Zwift,Long Beach,United States,Cycling,True.,1000000000,1
Indigo,Boston,United States,Agriculture,Baillie Gifford,4500000000,1
Xeeva,Madison Heights,United States,Artificial Intelligence,Peakequity,100000000,0
Outdoorsy,Austin,United States,Internet,Autotech Ventures,750000000,0
Storj,Atlanta,United States,Blockchain,BnkToTheFuture,15000000,0
Headout,New York,United States,Mobile,500 Global,150000000,0
Expel,Herndon,United States,Cloud Security,Index Ventures,1000000000,1
Teampay,New York,United States,FinTech,Espresso Capital,150000000,0
Tovala,Chicago,United States,Cooking,OurCrowd,200000000,0
Stax,Orlando,United States,Financial Services,HarbourVest Partners,140000000,0
Hedera Hashgraph,Richardson,United States,Financial Services,Digital Currency Group,350000000,0
Ripio,San Francisco,United States,Bitcoin,Digital Currency Group,5500000,0
Away,New York,United States,Consumer,Accel,1500000000,1
Notable,San Mateo,United States,Artificial Intelligence,Greylock,600000000,0
StackShare,San Francisco,United States,Cloud Computing,Citi,15000000,0
Zenefits,San Francisco,United States,Health Insurance,Andreessen Horowitz,4500000000,1
Orbital Insight,Palo Alto,United States,Analytics,Sequoia Capital,400000000,0
SuperPhone,New York,United States,CRM,Alumni Ventures,4500000,0
Swimlane,Louisville,United States,Computer,Energy Impact Partners,300000000,0
SQZ Biotech,Watertown,United States,Biotechnology,Temasek Holdings,540000000,0
SpinLaunch,Long Beach,United States,Aerospace,Alphabet,300000000,0
Wonolo,San Francisco,United States,Freelance,Sequoia Capital,550000000,0
Freenome,South San Francisco,United States,Biotechnology,Roche,3350000000,1
Fruit Street,New York,United States,Fitness,StartUp Health,55000000,0
Fair,Santa Monica,United States,Automotive,SoftBank,1500000000,1
Outschool,San Francisco,United States,Children,Tiger Global Management,3000000000,1
Simpplr,Redwood City,United States,Collaboration,Norwest Venture Partners,90000000,0
AuditBoard,Cerritos,United States,Cloud Data Services,Wavemaker Partners,150000000,0
Built Technologies,Nashville,United States,Commercial Lending,Fifth Wall,1500000000,1
DroneDeploy,San Francisco,United States,Drones,DCVC,400000000,0
Tive,Boston,United States,Enterprise Software,Techstars,310000000,0
MedCrypt,Solana Beach,United States,Health Care,Eniac Ventures,95000000,0
Capella Space,San Francisco,United States,Aerospace,Alumni Ventures,550000000,0
ZenBusiness,Austin,United States,Business Development,Alumni Ventures,1700000000,1
Jopwell,New York,United States,Professional Services,Andreessen Horowitz,40000000,0
Beyond Limits,Glendale,United States,Artificial Intelligence,G42,708000000,0
H1.co,New York,United States,Biotechnology,IVP,773000000,0
Hyperscience,New York,United States,Artificial Intelligence,Gaingels,1650000000,1
Pryon,Raleigh,United States,Artificial Intelligence,Gaingels,75000000,0
Rockset,San Mateo,United States,Analytics,Sequoia Capital,200000000,0
Zum,Redwood City,United States,Child Care,Sequoia Capital,930000000,0
New Barn,Healdsburg,United States,Food and Beverage,Almanac Insights,10000000,0
New Ocean Health Solutions,Conshohocken,United States,Health Care,SeventySix Capital,35000000,0
New West Genetics,Fort Collins,United States,Agriculture,Wells Fargo Innovation Incubator,9000000,0
New York Shipping Exchange,New York,United States,Logistics,Goldman Sachs,200000000,0
Zyston,Dallas,United States,Cyber Security,,10000000,0
ZypMedia,San Francisco,United States,Advertising,U.S. Venture Partners,35000000,0
ZynBit,Raleigh,United States,Analytics,River SaaS Capital,1500000,0
Zylotech,Cambridge,United States,Analytics,Glasswing Ventures,15000000,0
ZVerse,Columbia,United States,3D Printing,Mosley Ventures,15000000,0
Zuman,Pleasanton,United States,Association,,10000000,0
Zugata,Palo Alto,United States,Artificial Intelligence,General Catalyst,30000000,0
AppZen,San Jose,United States,Accounting,500 Global,500000000,0
Visby Medical,San Jose,United States,Health Care,Cedars Sinai,1060000000,1
Padlet,San Francisco,United States,Education,Y Combinator,4000000,0
JetSmarter,Fort Lauderdale,United States,Apps,Chang Corporation,1600000000,1
Tile,San Mateo,United States,Apps,Tencent,350000000,0
Digital Global Systems,Fairfax,United States,Database,Ancora,60000000,0
MediaCrossing,Stamford,United States,Advertising,Connecticut Innovations,25000000,0
Persado,New York,United States,Analytics,Goldman Sachs,200000000,0
Petnet,Los Angeles,United States,Hardware,Kima Ventures,45000000,0
Databricks,San Francisco,United States,Analytics,Andreessen Horowitz,38000000000,1
Gopuff,Philadelphia,United States,Delivery Service,Accel,15000000000,1
Chime,San Francisco,United States,Banking,Tiger Global Management,25000000000,1
Nuro,Mountain View,United States,Autonomous Vehicles,Google,8600000000,1
Devoted Health,Waltham,United States,Elder Care,Andreessen Horowitz,1800000000,1
Lacework,San Jose,United States,Cloud Security,Alumni Ventures,8300000000,1
Faire,San Francisco,United States,E-Commerce,Sequoia Capital,12590000000,1
EquipmentShare,Columbia,United States,Construction,Gaingels,1500000000,1
Figure,San Francisco,United States,Blockchain,Digital Currency Group,3200000000,1
QuarterSpot,New York,United States,Finance,,700000000,0
Airtable,San Francisco,United States,Collaboration,Silver Lake,11000000000,1
Tempus,Chicago,United States,Artificial Intelligence,Google,5500000000,1
Relativity Space,Long Beach,United States,3D Technology,General Catalyst,4200000000,1
Cypress Creek Renewables,Santa Monica,United States,Environmental Engineering,Temasek Holdings,600000000,0
Divvy Homes,San Francisco,United States,Financial Services,Cross River,2000000000,1
Relay Therapeutics,Cambridge,United States,Biotechnology,GV,1500000000,1
SambaNova Systems,Palo Alto,United States,Analytics,Temasek Holdings,5076000000,1
Pony.ai,Fremont,United States,Artificial Intelligence,Sequoia Capital,8500000000,1
Harmony Biosciences,Plymouth Meeting,United States,Biopharma,OrbiMed,950000000,0
Hinge Health,San Francisco,United States,Health Care,Insight Partners,6200000000,1
Pine Gate Renewables,Charlotte,United States,Energy,Generate Capital,60000000,0
Varo Money,San Francisco,United States,Apps,Warburg Pincus,2500000000,1
Vaxcyte,San Carlos,United States,Biopharma,RA Capital Management,850000000,0
Letgo,New York,United States,Apps,Insight Partners,3000000000,1
Plenty,South San Francisco,United States,AgTech,DCVC,2300000000,1
Convoy,Seattle,United States,Freight Service,Y Combinator,3800000000,1
Samsara,San Francisco,United States,Business Intelligence,Warburg Pincus,5400000000,1
System1,Venice,United States,Advertising,The Raine Group,800000000,0
Lyra Health,Burlingame,United States,Employee Benefits,Fidelity Management and Research Company,5535000000,1
Ribbon Home,New York,United States,Real Estate,Goldman Sachs,900000000,0
Better.com,New York,United States,Consumer Lending,Citi,6000000000,1
project44,Chicago,United States,Enterprise Software,Lineage Logistics,2700000000,1
Cityblock Health,Brooklyn,United States,Communities,SoftBank,5700000000,1
Bird,Santa Monica,United States,Electric Vehicle,Sequoia Capital,3000000000,1
Next Insurance,Palo Alto,United States,Commercial Insurance,Global Founders Capital,4000000000,1
Knock,San Mateo,United States,Lending,Correlation Ventures,1000000000,1
Attentive,New York,United States,Marketing Automation,Sequoia Capital,6970000000,1
Wonder,New York,United States,Consumer,Accel,45000000,0
Root Insurance,Columbus,United States,Auto Insurance,Tiger Global Management,3650000000,1
DailyPay,New York,United States,Employee Benefits,Fin Capital,1170000000,1
Desktop Metal,Burlington,United States,3D Printing,Stratasys,1500000000,1
Cohesity,San Jose,United States,Analytics,Sequoia Capital,3745000000,1
Coalition,San Francisco,United States,Cyber Security,Valor Equity Partners,5000000000,1
Workrise,Austin,United States,Energy,Andreessen Horowitz,1900000000,1
Revolution Medicines,Redwood City,United States,Health Care,Fidelity Management and Research Company,550000000,0
Plume Design,Palo Alto,United States,Network Hardware,Comcast,2600000000,1
FourPoint Energy,Denver,United States,Chemical,,1500000000,1
Sysdig,San Francisco,United States,Cloud Computing,Insight Partners,2000000000,1
iCapital Network,New York,United States,Asset Management,Bank of America,6000000000,1
Yieldstreet,New York,United States,Finance,Gaingels,700000000,0
Cerebras Systems,Sunnyvale,United States,Artificial Intelligence,Sequoia Capital,4000000000,1
Collective Health,San Mateo,United States,Health Care,Gaingels,1530000000,1
Petal,New York,United States,Credit Cards,Gaingels,700000000,0
Checkr,San Francisco,United States,Developer APIs,Accel,4600000000,1
Trumid,New York,United States,Banking,BlackRock,2300000000,1
TuSimple,San Diego,United States,Autonomous Vehicles,Tess Ventures,2500000000,1
Bowery Farming,New York,United States,Agriculture,Temasek Holdings,2500000000,1
Guild Education,Denver,United States,Career Planning,General Catalyst,4400000000,1
Cockroach Labs,New York,United States,Cloud Computing,Sequoia Capital,5000000000,1
FiscalNote,Washington,United States,Artificial Intelligence,University of Maryland,150000000,0
Recursion Pharmaceuticals,Salt Lake City,United States,Artificial Intelligence,Advantage Capital,1000000000,1
Dutchie,Bend,United States,Cannabis,Tiger Global Management,3750000000,1
Pegasus Resources,Fort Worth,United States,Energy,EnCap Investments,2000000000,1
Admiral Permian Resources,Midland,United States,Chemical,Riverstone Holdings,2000000000,1
Upgrade,San Francisco,United States,Banking,Silicon Valley Bank,6280000000,1
Gong,San Francisco,United States,Artificial Intelligence,Sequoia Capital,7250000000,1
Fetch,Madison,United States,E-Commerce,Gaingels,2500000000,1
Helion Energy,Everett,United States,Energy,Y Combinator,3000000000,1
Capsule,New York,United States,Health Care,M13,1000000000,1
Verbit,New York,United States,Artificial Intelligence,Silicon Valley Bank,2000000000,1
BetterUp,San Francisco,United States,Corporate Training,Lightspeed Venture Partners,4700000000,1
Rubrik,Palo Alto,United States,Cloud Computing,Microsoft,3670000000,1
CleanCapital,New York,United States,Energy,SeedInvest,10000000,0
Illumio,Sunnyvale,United States,Cloud Security,Andreessen Horowitz,2750000000,1
Fundbox,San Francisco,United States,B2B,Allianz,1100000000,1
Wasabi Technologies,Boston,United States,Cloud Computing,Alumni Ventures,1150000000,1
Deserve,Menlo Park,United States,Credit,Cross River,450000000,0
Forter,New York,United States,E-Commerce,Tiger Global Management,3000000000,1
LongPoint Minerals,Denver,United States,Energy,Canada Pension Plan Investment Board,1500000000,1
Shield AI,San Diego,United States,Artificial Intelligence,Andreessen Horowitz,2300000000,1
Ascend Wellness,Boston,United States,Agriculture,Poseidon Asset Management,350000000,0
Inari,Cambridge,United States,Agriculture,Alexandria Venture Investments,1500000000,1
GrubMarket,San Francisco,United States,E-Commerce,Alumni Ventures,2000000000,1
Independence Resources Management,Houston,United States,Energy,Warburg Pincus,1500000000,1
HoneyBook,San Francisco,United States,Apps,OurCrowd,2400000000,1
Clari,Sunnyvale,United States,Analytics,Silver Lake,2600000000,1
Outreach,Seattle,United States,Analytics,Techstars,1330000000,1
Lemonade,New York,United States,Artificial Intelligence,OurCrowd,2105000000,1
Kallyope,New York,United States,Biotechnology,Mubadala,1500000000,1
CloudMinds,Santa Clara,United States,Artificial Intelligence,Foxconn Technology Group,400000000,0
Generation Bio,Cambridge,United States,Biotechnology,Fidelity Management and Research Company,750000000,0
Inscripta,Boulder,United States,Biotechnology,Fidelity Management and Research Company,1500000000,1
Confluent,Mountain View,United States,Analytics,Sequoia Capital,4500000000,1
ICON,Austin,United States,3D Printing,NASA,1500000000,1
Amylyx Pharmaceuticals,Cambridge,United States,Biotechnology,Alpha Wave Global,500000000,0
PAX Labs,San Francisco,United States,Cannabis,Tiger Global Management,1700000000,1
Katapult,New York,United States,Financial Services,Gaingels,70000000,0
Docker,Palo Alto,United States,Developer Platform,Sequoia Capital,2100000000,1
Handshake,San Francisco,United States,College Recruiting,EQT Ventures,3500000000,1
6sense,San Francisco,United States,Artificial Intelligence,Insight Partners,5200000000,1
Harness,San Francisco,United States,Developer Tools,Gaingels,3675000000,1
Industrious,New York,United States,Collaboration,CBRE Group,700000000,0
Aledade,Bethesda,United States,Health Care,Fidelity Management and Research Company,3123000000,1
Locus Robotics,Wilmington,United States,E-Commerce,Hercules Capital,2000000000,1
Workato,Mountain View,United States,Cloud Computing,Norwest Venture Partners,5700000000,1
GitLab,San Francisco,United States,Cloud Security,500 Global,2768000000,1
Patreon,San Francisco,United States,Content Creators,Tiger Global Management,4250000000,1
Bond Street,New York,United States,B2B,Collaborative Fund,35000000,0
IronNet Cybersecurity,Mclean,United States,Computer,Phoenix Insurance Company,500000000,0
Brandless,Draper,United States,Commercial,GV,1000000000,1
Poseida Therapeutics,San Diego,United States,Biopharma,Novartis,950000000,0
Pear Therapeutics,Boston,United States,Biotechnology,Novartis,750000000,0
Pliant Therapeutics,South San Francisco,United States,Biotechnology,Menlo Ventures,650000000,0
Ethos,San Francisco,United States,Finance,Sequoia Capital,2700000000,1
vXchnge,Tampa,United States,Cloud Data Services,Stephens Group,600000000,0
Current,New York,United States,Banking,Andreessen Horowitz,2220000000,1
EasyKnock,New York,United States,Financial Services,500 Global,590000000,0
Lotus Midstream,Sugar Land,United States,Energy,EnCap Flatrock Midstream,1000000000,1
Eightfold AI,Santa Clara,United States,Artificial Intelligence,General Catalyst,2100000000,1
STACKPATH,Dallas,United States,Cloud Computing,Juniper Networks,1000000000,1
Exabeam,Foster City,United States,Analytics,Norwest Venture Partners,2400000000,1
Verifcient Technologies,New York,United States,Artificial Intelligence,Techstars,60000,0
Lingo Live,Walnut Creek,United States,Corporate Training,Compound,100000,0
Stae,New York,United States,CRM,SOSV,200000,0
Hull,Atlanta,United States,Apps,Techstars,350000,0
LogicStream Health,Minneapolis,United States,Health Care,Noro-Moseley Partners,450000,0
Slidebean,New York,United States,Enterprise Software,500 Global,500000,0
N&C,Baltimore,United States,Commercial,,800000,0
LibertyX,Boston,United States,Bitcoin,MassChallenge,1000000,0
DMD Therapeutics,Seattle,United States,Biotechnology,Pietro’s Fight,1000000,0
CoSchedule,Bismarck,United States,Asset Management,Gen7 Investments,1500000,0
Baremetrics,San Francisco,United States,Analytics,General Catalyst,1500000,0
Zoomph,Reston,United States,Analytics,,1500000,0
Pillar Technologies,New York,United States,Analytics,Techstars,1500000,0
TAO Connect,St. Petersburg,United States,Health Care,National Science Foundation,1500000,0
Coinigy,Milwaukee,United States,Big Data,,1500000,0
Naveego,Traverse City,United States,Analytics,Michigan Angel Fund,1500000,0
Paññã,Plano,United States,Artificial Intelligence,,1500000,0
HAE INNOVATIONS,Princeton,United States,Internet of Things,,1500000,0
SaaSMAX,San Diego,United States,Business Intelligence,,1850000,0
VidAngel,Palo Alto,United States,Crowdsourcing,Kickstart,2000000,0
Covered Insurance,Denver,United States,Finance,Radian Group,2000000,0
Story2,New York,United States,Career Planning,Techstars,2000000,0
Byndr,Chandler,United States,Continuing Education,Ben Franklin Technology Partners of Southeastern Pennsylvania,2000000,0
Buddytruk,Santa Monica,United States,Developer Tools,Winklevoss Capital,2000000,0
CoinText,Nashua,United States,Bitcoin,Yeoman's Capital,2000000,0
Uplevel Systems,Tigard,United States,Consulting,,2000000,0
CommonEdits,Austin,United States,Digital Entertainment,SeedSumo,2000000,0
influence.co,Boulder,United States,Brand Marketing,Alumni Ventures,2500000,0
Donut Media,Los Angeles,United States,Automotive,Techstars,2500000,0
AMPY,Evanston,United States,Energy,Evergreen Climate Innovations,2500000,0
Dragon Army,Atlanta,United States,Apps,,2500000,0
Knox Payments,San Francisco,United States,Enterprise Software,Hard Yaka,2500000,0
Cintell,Boston,United States,B2B,MassChallenge,2500000,0
Green Blender,Long Island City,United States,Food and Beverage,SOSV,2500000,0
Covaron Advanced Materials,Ann Arbor,United States,Advanced Materials,National Science Foundation,2500000,0
Elarm,Seattle,United States,Consumer Electronics,,2500000,0
Mixtroz,Birmingham,United States,Analytics,Backstage Capital,3000000,0
HyperVerge,Los Altos,United States,Artificial Intelligence,,3000000,0
ShareGrid,Seattle,United States,E-Commerce,MHS Capital,3000000,0
Merchbar,San Francisco,United States,E-Commerce,500 Global,3000000,0
Keeeb,Cambridge,United States,Artificial Intelligence,Social Starts,3000000,0
Enact Systems,Pleasanton,United States,Cloud Computing,Alumni Ventures,3000000,0
Rebellyous Foods,Seattle,United States,Food and Beverage,Fifty Years,3000000,0
IoTecha,Piscataway,United States,Cloud Data Services,BP Ventures,3000000,0
RightCapital,Shelton,United States,Financial Services,Camellia Venture Capital,3000000,0
Akadeum Life Sciences,Ann Arbor,United States,Biotechnology,Agilent Technologies,3000000,0
Upper Hand,Indianapolis,United States,Fitness,Elevate Ventures,3000000,0
FinTech Studios,New York,United States,Analytics,SixThirty,3000000,0
Augmented Pixels,Palo Alto,United States,3D Technology,Plug and Play,3000000,0
Gas Pos,North Little Rock,United States,Mobile Payments,500 Global,3000000,0
DiversyFund,San Diego,United States,Financial Services,Encloud Services LLC,3000000,0
PikMyKid,Tampa,United States,Communities,DeepWork Capital,3000000,0
Rezolve AI,San Ramon,United States,Artificial Intelligence,Venture Catalysts,3000000,0
Rayton Solar,Santa Monica,United States,CleanTech,StartEngine,3000000,0
ExplORer Surgical,Chicago,United States,Clinical Trials,National Science Foundation,3000000,0
MinkasuPay,Milpitas,United States,E-Commerce,,3000000,0
Retrium,Washington,United States,Collaboration,IrishAngels,3000000,0
Fixd Repair,Dallas,United States,Consumer,Chris Camillo,3000000,0
Restore Hyper Wellness,Austin,United States,Health Care,General Atlantic,3000000,0
With Clarity,New York,United States,Fashion,Plug and Play,3000000,0
Tierion,Mountain View,United States,Bitcoin,Digital Currency Group,3000000,0
Modern Adventure,Portland,United States,Leisure,Seal Rock Partners,3000000,0
Ulula,New York,United States,Analytics,DMZ,3000000,0
Pani Systems,Austin,United States,Computer,Angel Ventures,3000000,0
BeeHex,Columbus,United States,3D Printing,Rev1 Ventures,3000000,0
BabyPage,Albuquerque,United States,Baby,Keiretsu Forum,3000000,0
extraSlice,Bellevue,United States,Communities,Benaroya Capital,3000000,0
Smart Farm Systems,Nicholasville,United States,Agriculture,Keyhorse Capital (KSTC),3000000,0
Datarista,Providence,United States,Data Integration,Slater Technology Fund,3000000,0
Kiana Analytics,Sunnyvale,United States,Analytics,Plug and Play,3000000,0
Criptext,New York,United States,Cyber Security,Marina Acton,3000000,0
Molecular Match,Houston,United States,Health Care,UT Horizon Fund,3000000,0
Emojot,San Jose,United States,Ad Targeting,,3000000,0
R.e.d.d.,Portland,United States,Food and Beverage,FreshTracks Capital,3000000,0
LawnGuru,Ann Arbor,United States,Android,500 Global,3000000,0
MessageControl,Chicago,United States,Artificial Intelligence,Guild Capital,3000000,0
Scandy,New Orleans,United States,3D Technology,Callais Capital,3000000,0
Qura,Framingham,United States,Health Care,StartUp Health,3000000,0
Radiance Therapeutics,Tucson,United States,Biotechnology,,3000000,0
Snap2Insight,Portland,United States,Internet,Portland Seed Fund,3000000,0
Cre8tor.App,Miami,United States,Apps,New World Angels,3000000,0
Crowdability,New York,United States,Big Data,Stocktwits,3000000,0
IdealSpot,Austin,United States,Analytics,ATX Venture Partners,3000000,0
Pronto Technologies,Atlanta,United States,Information Services,,3000000,0
