Company, Found Date, City, Nation, Industry, Founder, Investor, Total Founding, Company Type, Operating Status, Last Valuation
OpenAI, 2015, San Francisco, United States, Artificial Intelligence, Carlos Virella, Andreessen Horowitz, 1000120000, Y, Y, 
Orange DAO, 2021, San Francisco, United States, Cryptocurrency, —, NEAR, 80000000, Y, Y, 
Carvana, 2013, Tempe, United States, Automotive, Ernie Garcia, Citi, 4835120000, Y, Y, 
Nothing, 2020, London, United Kingdom, Consumer, Akis Evangelidis, Animoca Brands, 150197410, Y, Y, 
ConsenSys, 2014, Brooklyn, United States, Blockchain, Donnie Benjamin, Protocol Labs, 726670000, Y, Y, 
OurCrowd, 2013, Jerusalem, Israel, Angel Investment, Jonathan Medved, United Overseas Bank, 197500000, Y, Y, 
FTX, 2019, Nassau, Bahamas, Cryptocurrency, Gary Wang, Binance, 1828690000, Y, Y, 
Oda, 2013, Oslo, Norway, Delivery, Andreas Skaranger, SoftBank, 690920133, Y, Y, 
Inflection Point Ventures, 2017, Gurgaon, India, Business Development, Ankur Mittal, —, 5500000, Y, Y, 
OneRail, 2018, Orlando, United States, Delivery Service, Bill Catania, Alumni Ventures, 54500000, Y, Y, 
Yuga Labs, 2021, Miami, United States, Blockchain, Greg Solano, Coinbase, 450000000, Y, Y, 
Maude, 2017, Brooklyn, United States, Consumer Goods, Eva Goicochea, WME, 10050000, Y, Y, 
Vinfast, 2017, Hai Phong, Vietnam, Automotive, Pham Nhat Vuong, Finnfund, 135000000, Y, Y, 
REZI, 2016, New York, United States, Financial Services, Harsh Yadav, DCVC, 130000000, Y, Y, 
Cyble, 2019, Alpharetta, United States, Artificial Intelligence, Beenu Arora, Y Combinator, 14607000, Y, Y, 
Slingshot Aerospace, 2017, Austin, United States, Aerospace, David Godwin, Techstars, 110520000, Y, Y, 200000000
Bitcoin, 2017, San Francisco, United States, Bitcoin, Andrew DeSantis, Larry Zhao, 14208804, Y, Y, 
Vial, 2020, San Francisco, United States, Biotechnology, Andrew Brackin, General Catalyst, 67000000, Y, Y, 
Protocol Labs, 2014, San Francisco, United States, Information Technology, Juan Benet, Digital Currency Group, 10920000, Y, Y, 
Jasper, 2021, Austin, United States, Artificial Intelligence, Dave Rogenmoser, Insight Partners, 131000000, Y, Y, 
Astera Labs, 2017, Santa Clara, United States, Automotive, Casey Morrison, Fidelity Management and Research Company, 206350000, Y, Y, 
Deepgram, 2015, San Francisco, United States, Artificial Intelligence, Noah Shutty, NVIDIA, 85920000, Y, Y, 250000000
MotherDuck, 2022, Seattle, United States, Analytics, Jordan Tigani, Andreessen Horowitz, 47500000, Y, Y, 
Sense, 2013, Cambridge, United States, Consumer Electronics, Christopher Micali, Schneider Electric, 174599998, Y, Y, 550000000
EXPERT DOJO, 2014, Santa Monica, United States, Enterprise, Brian Mac Mahon, VDOSH, 1070000, Y, Y, 
Argo AI, 2016, Pittsburgh, United States, Artificial Intelligence, Bryan Salesky, Lyft, 3600000000, Y, N, 
PhonePe, 2015, Andheri, India, —, Husna Nc Engineer, Tencent, 1743825864, Y, Y, 
ResortPass, 2016, New York, United States, Hospitality, Amanda Szabo, WME, 37700000, Y, Y, 
Animoca Brands, 2014, Cyberport, Hong Kong, Apps, Yat Siu, Ubisoft, 804013964, Y, Y, 
Bending Spoons, 2013, Milan, Italy, Information Technology, Francesco Patarnello, Bossanova Investimentos, 341227170, Y, Y, 
Aye Finance, 2014, Gurgaon, India, Finance, Sanjay Sharma, Northern Arc, 636744839, Y, Y, 
Zume, 2015, Camarillo, United States, Consumer, Alex Garden, FJ Labs, 423000000, Y, Y, 2250000000
WEKA, 2013, Campbell, United States, Artificial Intelligence, Liran Zvibel, NVIDIA, 293900000, Y, Y, 
JUUL, 2015, San Francisco, United States, B2C, Adam Bowen, Tiger Global Management, 15205232806, Y, Y, 
Circle, 2013, Boston, United States, Banking, Jeremy Allaire, FTX, 1111000000, Y, Y, 
Gemini, 2014, New York, United States, Cryptocurrency, Cameron Winklevoss, Mogo, 423903059, Y, Y, 
V7, 2018, London, United Kingdom, Artificial Intelligence, Alberto Rizzoli, Ashish Vaswani, 43000000, Y, Y, 
Contentstack, 2018, San Francisco, United States, CMS, Matthew Baier, Insight Partners, 169000000, Y, Y, 
KuCoin, 2017, Mahé, Seychelles, Bitcoin, —, Circle, 180000000, Y, Y, 
Cider Security, 2020, Tel Aviv-yafo, Israel, Computer, Guy Fletcher, Tiger Global Management, 38000000, Y, Y, 
Faraday Future, 2014, Gardena, United States, Automotive, Alan Cherry, Ares Management, 3720750000, Y, Y, 
Taktile, 2020, New York, United States, Financial Services, Dr. Maximilian Eber, Tiger Global Management, 24701000, Y, Y, 
Ather Energy, 2013, Bangalore, India, Clean Energy, Swapnil Jain, Tiger Global Management, 341671915, Y, Y, 
Physics Wallah, 2014, Noida, India, E-Learning, Alakh Pandey, Westbridge Capital, 100000000, Y, Y, 
